id,text,label
117668740,"Mac OS X El Capitan, 10.11.1, 
VSCode 0.10.1
css file size: 116,198 bytes (119 KB on disk)

The attached file was built with a minifier as part of a grunt task to build the distributable files of a website. Tried to open the file several times to make sure that file is the issue. The app eventually shows a dialog that says ""Visual Studio is no longer responding"" 

When I reopen VSCode after the crash, the folder has been forgotten, it opens to a different folder. When is the ""current"" folder updated to the existing folder?

I added the .txt extension in order to add it here. The file extension was originally just .css

[main.08642f99.css.txt](https://github.com/Microsoft/vscode/files/38262/main.08642f99.css.txt)
",0
117770943,"1. Go full screen
2. Split it with another app (eg iTerm2), El Capitan style
3. Quit Code

Crash reporter comes up. Couldn't repro with barebones Electron.
",1
118497549,"On a Mac (running OSX 10.11.1), if the network connection to a connected Samba share with open files interrupts, VSCode crashes with the error that says it needs to restart.
",0
120175243,"VSCode crashes every time I open an ES6 file, after a few seconds. This started happening after the 0.10.3 update.

Here's the output:

```
$ ./code --verbose

### VSCode main.js ###
c:\Program Files (x86)\Microsoft VS Code\resources\app { pathArguments: [],
  programStart: 0,
  workers: -1,
  enablePerformance: false,
  verboseLogging: true,
  debugPluginHostPort: undefined,
  debugBrkPluginHost: undefined,
  logPluginHostCommunication: false,
  firstrun: false,
  openNewWindow: false,
  openInSameWindow: false,
  gotoLineMode: false,
  pluginHomePath: undefined,
  pluginDevelopmentPath: undefined,
  pluginTestsPath: undefined }
Lifecycle#unload() 1
IPC#vscode-workbenchLoaded

<--- Last few GCs --->

   11777 ms: Scavenge 715.1 (742.6) -> 715.1 (742.6) MB, 0.2 / 0 ms (+ 5.0 ms in 1 steps since last GC) [allocation failure] [incremental marking delaying mark-sweep].
   11865 ms: Mark-sweep 715.1 (742.6) -> 714.3 (738.6) MB, 88.2 / 1 ms (+ 6.0 ms in 2 steps since start of marking, biggest step 5.0 ms) [last resort gc].
   11919 ms: Mark-sweep 714.3 (738.6) -> 714.4 (737.6) MB, 54.1 / 1 ms [last resort gc].


<--- JS stacktrace --->

==== JS stack trace =========================================

Security context: 12320E39 <String[7]: file://>
    1: slowToString [buffer.js:344] [pc=0F1B78F8] (this=0F9F3DA5 <an Uint8Array with map 34609681>,encoding=123236C9 <String[4]: utf8>,start=0,end=3694146)
    2: toString [buffer.js:~371] [pc=24AAD709] (this=0F9F3DA5 <an Uint8Array with map 34609681>)
    3: arguments adaptor frame: 3->0
    4: write [string_decoder.js:129] [pc=24A3D6FD] (this=0F9FD0C5 <an InternalDecoder with map 2C6981DD>...

[VS Code]: render process crashed!
Lifecycle#window-all-closed
Lifecycle#before-quit
App#dispose: deleting running instance handle
```
",0
121077865,"- Start cmd
- Launch VS Code from prompt
- Close cmd

**Expected:** VS Code continue to run
**Actual:** Just before closing, cmd displays `[VS Code]: render process crashed`, and both cmd and Code exit

Screencap from right after X-ing out of cmd:

![image](https://cloud.githubusercontent.com/assets/5943573/11665470/77b729cc-9d9c-11e5-8e12-fe514497a4c7.png)

```
Version 0.10.3
Commit 783ecf841a2b21edca6d86853670cae89b4c244f
Date 2015-11-26T14:06:31.538Z
Shell 0.34.1
Renderer 45.0.2454.85
Node 4.1.1
```
",1
128802186,"when testing #2250 on OS X:
- in System Preference/Keyboard/Input Sources add input method ""Chinese Simplified""/''Pinyin - Simplified""
- make Pinyin the current input method
- type a + b + space
  Observe: an internal error occurs:
  ![2016-01-26 13-05-31](https://cloud.githubusercontent.com/assets/1898161/12580180/a7ff6b46-c42d-11e5-9d74-0a6163ca47b7.png)

If the crash doesn't occur immediately, just keep typing...
",1
131175240,"The node debugger in VS Code seems to die after the first console.log output. While I am not 100% sure this is the actual problem, I don't recall ever having a problem until I upgraded to Node 4.2.6 (current LTS version).

No output, no warnings. VS Code itself does not crash.

If there is a log I can reference to help with this issue report, I am happy to look if given some instructions on how to find it.

For what it's worth, outside this issue, VS Code is hands down the best node debugger tool I have used.
",1
136732440,"VSCode doesn't start up with a console. However, I often start it from powershell with `start code .` instead of just `code .` (Since occasionally VSCode ends up dumping data into a console that I'm using for something else, and starting with the latter doesn't truly isolate the process, it rather just runs the message loop still connected to the same console).

However starting it that way, it exposed certain errors that ends up being hidden otherwise. During startup, about a 1 in 3 times, these messages end up on the console: 

```
[11576:11580:0226/211032:VERBOSE1:crash_service_main.cc(68)] Session start. cmdline is [--reporter-url=https://ticinocrashreporter.azurewebsites.net/crash --application-name=VSCode --v=1]
[11576:11580:0226/211032:VERBOSE1:crash_service.cc(142)] window handle is 000B03EC
[11576:11580:0226/211032:VERBOSE1:crash_service.cc(290)] pipe name is \\.\pipe\VSCode Crash Service
dumps at C:\Users\PVL\AppData\Local\Temp\VSCode Crashes
[11576:11580:0226/211032:VERBOSE1:crash_service.cc(294)] checkpoint is C:\Users\PVL\AppData\Local\Temp\VSCode Crashes\crash_checkpoint.txt
server is https://ticinocrashreporter.azurewebsites.net/crash
maximum 128 reports/day
reporter is electron-crash-service
[11576:11580:0226/211032:VERBOSE1:crash_service_main.cc(84)] Ready to process crash requests
[11576:11596:0226/211032:VERBOSE1:crash_service.cc(323)] client start. pid = 11356
[11576:11596:0226/211032:VERBOSE1:crash_service.cc(323)] client start. pid = 3656
[11608:11612:0226/211033:VERBOSE1:crash_service_main.cc(68)] Session start. cmdline is [--reporter-url=https://ticinocrashreporter.azurewebsites.net/crash --application-name=VSCode --v=1]
[11608:11612:0226/211033:VERBOSE1:crash_service.cc(142)] window handle is 00010B36
[11608:11612:0226/211033:VERBOSE1:crash_service.cc(290)] pipe name is \\.\pipe\VSCode Crash Service
dumps at C:\Users\PVL\AppData\Local\Temp\VSCode Crashes
[11608:11612:0226/211033:VERBOSE1:crash_service.cc(294)] checkpoint is C:\Users\PVL\AppData\Local\Temp\VSCode Crashes\crash_checkpoint.txt
server is https://ticinocrashreporter.azurewebsites.net/crash
maximum 128 reports/day
reporter is electron-crash-service
[11608:11612:0226/211033:ERROR:crash_service.cc(301)] could not start dumper
```

And the crash checkpoint files in the dump above, doesn't seem to have much of meaningful data, but just:

```
GBP1
20160209
1
```

Most likely, its harmless and just some issue with the dumper - but I'm just filing it for the purposes of documenting it, if it is indeed harmless.
",0
138364792,"_From @isomorphisms on https://github.com/Microsoft/vscode/issues/50_

I got this error in Ubuntu 12.04.

```
A JavaScript error occurred in the main process
Uncaught Exception:
Error: Failed to set path
    at Error (native)
    at Object.<anonymous> (/opt/VSCode-linux-ia32/resources/atom.asar/browser/lib/init.js:120:7)
    at Object.<anonymous> (/opt/VSCode-linux-ia32/resources/atom.asar/browser/lib/init.js:132:4)
    at Module._compile (module.js:434:26)
    at Object.Module._extensions..js (module.js:452:10)
    at Module.load (module.js:355:32)
    at Function.Module._load (module.js:310:12)
    at Function.Module.runMain (module.js:475:10)
    at startup (node.js:130:18)
    at node.js:982:3

```
",1
139306370,"After update VSC to 0.10.10, javascript intellisense stop working.

VSC show warn message: ""**The Typescript language service died unexpectedly 5 times in the last 5 Minutes. Please consider to open a bug report.**""

Any idea?
Thank you!
",0
